Name,Abbrev,Place,Id,Code,Department,Authors,Score 3 Yr,Score Overall
Sekolah Tinggi Ilmu Kesehatan AKBIDYO,-,"KAB. BANTUL - DAERAH ISTIMEWA YOGYAKARTA, ID",1962,053046,5,45,1865,6413
Politeknik Perkeretaapian Indonesia Madiun,PPIMADIUN,"KOTA MADIUN - JAWA TIMUR, ID",4457,425017,4,46,1862,2944
Sekolah Tinggi Teknologi Pekanbaru,STTP,"KOTA PEKANBARU - RIAU, ID",2976,103071,4,30,1854,4925
Institut Teknologi Batam,ITEBA,"KOTA BATAM - KEPULAUAN RIAU, ID",8244254,102003,7,34,1850,6231
Institut Kesehatan Deli Husada Deli Tua,INKES-DHDT,"KAB. DELI SERDANG - SUMATERA UTARA, ID",8122,012007,0,104,1850,3831
Institut Teknologi Yogyakarta,-,"KAB. BANTUL - DAERAH ISTIMEWA YOGYAKARTA, ID",1889,052005,6,45,1846,7932
Institut Teknologi Kesehatan dan Sains Muhammadiyah Sidrap,ITKESMS,"KAB. SIDENRENG RAPPANG - SULAWESI SELATAN, ID",2734,092017,10,60,1843,2531
Institut Teknologi dan Kesehatan Avicenna,-,"KOTA KENDARI - SULAWESI TENGGARA, ID",2674,092004,10,53,1840,2542
Institut Dirosat Islamiyah Al-Amien Prenduan Sumenep,IDIAPRENDUAN,"KAB. SUMENEP - JAWA TIMUR, ID",3573,212013,9,62,1838,2816
Institut Pendidikan Nusantara Global,INSTITUTPENDIDIKANNUSANTARAGLOBAL,"KAB. LOMBOK TENGAH - NUSA TENGGARA BARAT, ID",8303,082008,6,45,1835,2584
STIA Dan Manajemen Kepelabuhan Barunawati,STIAMAKSURABAYA,"KOTA SURABAYA - JAWA TIMUR, ID",2203,073088,1,11,1827,3069
Politeknik LP3I,-,"KOTA BANDUNG - JAWA BARAT, ID",1844,045052,16,85,1824,3397
Politeknik Medica Farma Husada Mataram,-,"KOTA MATARAM - NUSA TENGGARA BARAT, ID",2524,085005,6,31,1823,4070
Universitas IBBI,-,"KOTA MEDAN - SUMATERA UTARA, ID",8244481,011058,5,54,1820,3557
Politeknik TEDC,-,"KOTA CIMAHI - JAWA BARAT, ID",1845,045016,12,68,1817,3723
Sekolah Tinggi Ilmu Kesehatan Intan Martapura,STIKESINTANMTP,"KAB. BANJAR - KALIMANTAN SELATAN, ID",3292,113097,2,28,1814,2606
STMIK Indonesia Padang,-,"KOTA PADANG - SUMATERA BARAT, ID",2964,103054,3,40,1813,4619
Universitas 17 Agustus 1945 Samarinda,UNTAG1945SAMARINDA,"KOTA SAMARINDA - KALIMANTAN TIMUR, ID",3133,111001,10,130,1806,4529
"Badan Pendidikan, Penelitian dan Penyuluhan Sosial  Kementerian Sosial",PUSLITBANGKESSOSBBPPPKS,"KOTA ADM. JAKARTA PUSAT - DKI JAKARTA, ID",8088,0,0,57,1805,4276
Sekolah Tinggi Ilmu Ekonomi Kusuma Negara,STIEKN,"KOTA ADM. JAKARTA TIMUR - DKI JAKARTA, ID",1138,033032,4,27,1805,4443
"STAI Muhammadiyah (STAIM) Klaten, Jawa Tengah",-,"KAB. KLATEN - JAWA TENGAH, ID",92,213389,3,1,1803,2057
Sekolah Tinggi Teknologi Bontang,-,"KOTA BONTANG - KALIMANTAN TIMUR, ID",3201,113056,2,16,1800,5369
STKIP Muhammadiyah Muara Bungo,-,"KAB. BUNGO - JAMBI, ID",3035,103142,5,42,1797,2763
Sekolah Tinggi Bahasa Asing Yapari-ABA,STBAYPI-ABA,"KOTA BANDUNG - JAWA BARAT, ID",1473,043035,6,37,1795,3172
Sekolah Tinggi Ilmu Ekonomi Muhammadiyah Jakarta,STIEMJ,"KOTA ADM. JAKARTA SELATAN - DKI JAKARTA, ID",1173,033096,4,35,1790,3176
Universitas Islam Kebangsaan Indonesia,UNIKI,"KAB. BIREUEN - ACEH, ID",8278,131012,12,109,1787,2961
Universitas Sains Cut Nyak Dhien,-,"KOTA LANGSA - ACEH, ID",3362,131011,12,86,1773,2869
Universitas Informatika Dan Bisnis Indonesia,UNIBI,"KOTA BANDUNG - JAWA BARAT, ID",1433,041046,9,57,1770,3096
IKIP Muhammadiyah Maumere,IKIPMUMAUMERE,"KAB. SIKKA - NUSA TENGGARA TIMUR, ID",2398,152001,8,58,1767,2436
STIKES Mitra Keluarga,-,"KOTA BEKASI - JAWA BARAT, ID",1257,033209,6,29,1764,2740
Sekolah Tinggi Ilmu Kesehatan Alifah Padang,-,"KOTA PADANG - SUMATERA BARAT, ID",2981,103076,6,49,1764,2637
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Budidaya Binjai,STKIPBUDIDAYABINJAI,"KOTA BINJAI - SUMATERA UTARA, ID",629,013029,6,50,1762,2975
Institut Teknologi Sains Bandung,-,"KAB. BEKASI - JAWA BARAT, ID",1453,042005,11,52,1762,3064
Akademi Farmasi Surabaya,-,"KOTA SURABAYA - JAWA TIMUR, ID",2348,074129,1,36,1761,4737
Politeknik Bosowa,-,"KOTA MAKASSAR - SULAWESI SELATAN, ID",2887,095007,5,30,1760,2506
Universitas Teknologi Sulawesi,-,"KOTA MAKASSAR - SULAWESI SELATAN, ID",2565,091040,10,79,1758,3241
Politeknik Kesehatan Kementerian Kesehatan Jayapura,POLTEKKESKEMENKESJAYAPURA,"KOTA JAYAPURA - P A P U A, ID",4442,405031,20,115,1753,3392
Institut Pertanian Malang,IPM,"KOTA MALANG - JAWA TIMUR, ID",2123,072006,3,19,1751,2616
Universitas Bung Karno,-,"KOTA ADM. JAKARTA PUSAT - DKI JAKARTA, ID",1087,031042,12,99,1750,3272
Sekolah Tinggi Ilmu Kesehatan Surya Global,STIKESSURYAGLOBAL,"KAB. BANTUL - DAERAH ISTIMEWA YOGYAKARTA, ID",1915,053030,3,68,1749,2672
STIKES Mamba ul Ulum Surakarta,STIKESMAMBA,"KOTA SURAKARTA - JAWA TENGAH, ID",4835,063104,4,24,1746,2841
STKIP PGRI Bandar Lampung,STKIPPGRIBANDARLA,"KOTA BANDAR LAMPUNG - LAMPUNG, ID",872,023013,8,57,1745,3747
Institut Seni Budaya Indonesia Aceh,ISBIACEH,"KAB. ACEH BESAR - ACEH, ID",535,002011,6,50,1741,2360
Universitas Muhammadiyah Bulukumba,UMB,"KAB. BULUKUMBA - SULAWESI SELATAN, ID",2579,091061,8,59,1741,2854
Sekolah Tinggi Ilmu Kesehatan Mataram,STIKESMATARAM,"KOTA MATARAM - NUSA TENGGARA BARAT, ID",2241,083022,3,28,1738,2821
Universitas Persatuan Guru 1945 NTT,UPG1945NTT,"KOTA KUPANG - NUSA TENGGARA TIMUR, ID",1987,151013,11,72,1732,2742
Politeknik Energi dan Mineral Akamigas,PEMAKAMIGAS,"KAB. BLORA - JAWA TENGAH, ID",4398,355001,5,43,1726,3414
Universitas Yos Soedarso,UNIYOS,"KOTA SURABAYA - JAWA TIMUR, ID",2044,071013,5,32,1719,2039
Sekolah Tinggi Ilmu Ekonomi Sakti Alam Kerinci,STIE-SAK,"KOTA SUNGAI PENUH - JAMBI, ID",2954,103044,3,45,1715,2592
Universitas Al-Khairiyah,UNIVAL,"KOTA CILEGON - BANTEN, ID",8244428,041092,6,44,1712,5639
STMIK PPKIA Pradnya Paramita,STIMATA,"KOTA MALANG - JAWA TIMUR, ID",2212,073104,3,25,1710,5929
Politeknik Kesehatan Kementerian Kesehatan Manado,POLTEKKESKEMENKESMANADO,"KOTA MANADO - SULAWESI UTARA, ID",4436,405025,13,129,1709,3236
STIKES Telogorejo Semarang,-,"KOTA SEMARANG - JAWA TENGAH, ID",213,063079,8,50,1708,2977
Institut Agama Kristen Negeri Ambon,IAKNAMBON,"KOTA AMBON - MALUKU, ID",4062,222003,13,59,1703,2487
STKIP Bumi Persada Lhokseumawe,-,"KOTA LHOKSEUMAWE - ACEH, ID",3403,133044,5,27,1699,3372
Sekolah Tinggi Teologi Moriah Tangerang,STTM,"KAB. TANGERANG - BANTEN, ID",4153,233134,5,17,1688,3023
Institut Pesantren Sunan Drajat Lamongan,INSUD,"KAB. LAMONGAN - JAWA TIMUR, ID",8310,212052,7,50,1684,2817
Universitas Dian Nusantara,-,"KOTA ADM. JAKARTA BARAT - DKI JAKARTA, ID",602,031066,8,53,1682,3160
STIT Pringsewu,STITPRINGSEWULAMPUNG,"KAB. PRINGSEWU - LAMPUNG, ID",3665,213082,3,17,1679,3367
STT EKUMENE JAKARTA,STTE,"KOTA ADM. JAKARTA UTARA - DKI JAKARTA, ID",4144,233119,9,40,1677,4226
IKIP Widya Darma,-,"KOTA SURABAYA - JAWA TIMUR, ID",2120,072003,5,31,1676,2442
Sekolah Tinggi Agama Islam Negeri Mandailing Natal,STAINMANDAILINGNATAL,"KAB. MANDAILING NATAL - SUMATERA UTARA, ID",8244001,203037,16,127,1674,2503
Sekolah Tinggi Ilmu Ekonomi Muhammadiyah Bandung,STIEMBANDUNG,"KOTA BANDUNG - JAWA BARAT, ID",1537,043135,2,2,1674,3060
Sekolah Tinggi Teologi Injili Arastamar (SETIA) Jakarta,STTSETIA,"KAB. TANGERANG - BANTEN, ID",4069,233004,9,30,1670,2205
Universitas Nahdlatul Ulama Kalimantan Timur,-,"KOTA SAMARINDA - KALIMANTAN TIMUR, ID",3149,111020,10,41,1665,2568
Politeknik Kesehatan Kementerian Kesehatan Riau,POLTEKKESKEMENKESRIAU,"KOTA PEKANBARU - RIAU, ID",4414,405003,6,69,1660,3250
Universitas Darussalam Ambon,UNIDAR,"KOTA AMBON - MALUKU, ID",3308,121002,14,67,1655,6183
Sekolah Tinggi Ilmu Islam dan Bahasa Arab (STIBA) Makassar,-,"KOTA MAKASSAR - SULAWESI SELATAN, ID",4007,213489,2,11,1648,2487
Universitas Madako Tolitoli,-,"KAB. TOLI TOLI - SULAWESI TENGAH, ID",2561,161015,14,83,1648,2727
Politeknik Astra,ASTRATECH,"KOTA ADM. JAKARTA UTARA - DKI JAKARTA, ID",1384,035021,6,30,1645,5785
Politeknik Kesehatan Kementerian Kesehatan Kendari,POLTEKKESKEMENKESKENDARI,"KOTA KENDARI - SULAWESI TENGGARA, ID",4439,405028,6,88,1644,3577
STIKES Yarsi Pontianak,STIKESYARSIPONTIAN,"KOTA PONTIANAK - KALIMANTAN BARAT, ID",3227,113083,3,18,1643,2628
Politeknik Kesehatan Kementerian Kesehatan Maluku,POLKESMAKU,"KOTA AMBON - MALUKU, ID",4440,405029,8,88,1639,2921
Balai Besar Penelitian dan Pengembangan Tanaman Obat dan Obat Tradisional,B2P2TOOT,"- - -, ID",74,0,0,29,1635,2972
STKIP PGRI Situbondo,STKIPPGRISITUBONDO,"KAB. SITUBONDO - JAWA TIMUR, ID",2159,073032,3,20,1630,2010
Sekolah Tinggi Ilmu Kesehatan Santo Borromeus,-,"KAB. BANDUNG BARAT - JAWA BARAT, ID",1658,043301,5,26,1626,2468
STKIP PGRI Trenggalek,-,"KAB. TRENGGALEK - JAWA TIMUR, ID",2171,073045,5,40,1620,2728
Institut Kesehatan dan Teknologi Graha Medika,IKTGM,"KOTA KOTAMOBAGU - SULAWESI UTARA, ID",2739,162002,8,29,1618,2595
STIKES Pekanbaru Medical Center,-,"KOTA PEKANBARU - RIAU, ID",3016,103116,4,21,1612,2864
Universitas Mahakarya Asia,UNMAHA,"KAB. SLEMAN - DAERAH ISTIMEWA YOGYAKARTA, ID",8244369,051026,11,52,1611,3111
Institut Teknologi Sawit Indonesia,ITSI,"KOTA MEDAN - SUMATERA UTARA, ID",681,012017,6,36,1611,3414
STKIP Weetebula,STKIPWEETEBULA,"KAB. SUMBA BARAT DAYA - NUSA TENGGARA TIMUR, ID",2478,153024,7,40,1611,3400
Sekolah Tinggi Ilmu Manajemen YKPN,STIMYKPN,"KAB. SLEMAN - DAERAH ISTIMEWA YOGYAKARTA, ID",1916,053034,2,21,1606,5229
Badan Penelitian dan Pengembangan Kementerian Pekerjaan Umum dan Perumahan Rakyat Indonesia,-,"KOTA BANDUNG - JAWA BARAT, ID",8092,0,0,14,1606,6103
Politeknik Kesehatan Kementerian Kesehatan Jambi,POLTEKKESKEMENKESJAMBI,"KOTA JAMBI - JAMBI, ID",4416,405005,14,149,1605,3979
Sekolah Tinggi Manajemen Immi,STIMAIMMI,"KOTA ADM. JAKARTA SELATAN - DKI JAKARTA, ID",1164,033077,3,76,1601,2680
Universitas Nahdlatul Ulama Yogyakarta,UNUYOGYAKARTA,"KOTA YOGYAKARTA - DAERAH ISTIMEWA YOGYAKARTA, ID",1989,051023,11,77,1601,3145
Universitas Sains Dan Teknologi Jayapura,USTJ,"KOTA JAYAPURA - P A P U A, ID",3454,141002,17,88,1594,5558
Universitas Haji Sumatera Utara,UNHAJ,"KAB. DELI SERDANG - SUMATERA UTARA, ID",692,011057,10,65,1590,2753
Universitas Maritim AMNI,UNIMARAMNI,"KOTA SEMARANG - JAWA TENGAH, ID",8244272,061056,8,33,1590,2744
STMIK Bani Saleh,STMIKBANISALEH,"KOTA BEKASI - JAWA BARAT, ID",1518,043108,5,43,1581,3736
Sekolah Tinggi Manajemen dan Ilmu Komputer Kaputama,STMIKKAPUTAMA,"KOTA BINJAI - SUMATERA UTARA, ID",677,013118,4,26,1580,3847
Universitas Indonesia Mandiri,UIM,"KOTA BEKASI - JAWA BARAT, ID",1147,041095,6,3,1580,3147
Sekolah Tinggi Teknologi Industri dan Farmasi Bogor,STTIF,"KOTA BOGOR - JAWA BARAT, ID",1535,043132,0,28,1578,2680
STIKES RS Baptis Kediri,-,"KOTA KEDIRI - JAWA TIMUR, ID",2244,073142,5,27,1576,3804
Universitas Tanri Abeng,-,"KOTA ADM. JAKARTA SELATAN - DKI JAKARTA, ID",1100,031054,11,39,1576,3082
Institut Kesehatan Rajawali,IKESRAJAWALI,"KOTA BANDUNG - JAWA BARAT, ID",1665,043307,0,47,1574,4410
STKIP Rokania,-,"KAB. ROKAN HULU - RIAU, ID",3034,103141,4,30,1570,2972
Ikatan Ilmuwan Internasional Malaysia,DIASPORAMALAYSIA,"UNKNOWN - UNKNOWN, ID",8244028,412,0,1,1566,19417
Sekolah Tinggi Teologi ATI Anjungan Pontianak,STTATI,"KOTA PONTIANAK - KALIMANTAN BARAT, ID",4201,233216,2,13,1563,4640
STIE Pasim Sukabumi,-,"KOTA SUKABUMI - JAWA BARAT, ID",1664,043306,4,20,1556,38472
Universitas Kusuma Husada Surakarta,UKHSURAKARTA,"KOTA SURAKARTA - JAWA TENGAH, ID",221,061055,13,105,1552,3196
Sekolah Tinggi Ilmu Sosial Dan Politik Mbojo,STISIPMBOJOBIMA,"KOTA BIMA - NUSA TENGGARA BARAT, ID",2415,083015,2,58,1550,4480
Institut Agama Islam Negeri Takengon,IAINTAKENGON,"KAB. ACEH TENGAH - ACEH, ID",3560,202047,13,106,1549,3040
Sekolah Tinggi Filsafat Jaffray Makassar,-,"KOTA MAKASSAR - SULAWESI SELATAN, ID",2589,093015,1,24,1547,3526
Universitas Islam Kuantan Singingi,UNIKS,"KAB. KUANTAN SINGINGI - RIAU, ID",2910,101023,13,86,1545,2976
Politeknik Penerbangan Makassar,POLTEKBANGMAKASSAR,"KOTA MAKASSAR - SULAWESI SELATAN, ID",8471,425021,4,20,1544,17487
Akademi Keperawatan Pemerintah Kab Purworejo,AKPERPEMKAB,"KAB. PURWOREJO - JAWA TENGAH, ID",2021,064102,1,7,1544,1787
Sekolah Tinggi Manajemen Ipmi,STMIPMI,"KOTA ADM. JAKARTA SELATAN - DKI JAKARTA, ID",1156,033068,2,16,1543,3376
Institut Agama Islam Bunga Bangsa Cirebon,IAIBBC,"KAB. CIREBON - JAWA BARAT, ID",3734,212056,10,62,1542,2383
STIKES Senior Medan,STIKESSENIORMEDAN,"KOTA MEDAN - SUMATERA UTARA, ID",710,013185,7,43,1540,2551
Politeknik Piksi Ganesha Indonesia,PPGI,"KAB. KEBUMEN - JAWA TENGAH, ID",334,065041,4,28,1538,2086
STAI Al-Anwar Sarang Rembang,-,"KAB. REMBANG - JAWA TENGAH, ID",3628,213036,2,33,1534,2779
STIKI Malang,SEKOLAHTINGGIINFORMATIKADANKOMPUTERINDONESIA,"KOTA MALANG - JAWA TIMUR, ID",2152,073025,4,40,1519,4677
Sekolah Tinggi Ilmu Administrasi Pembangunan,STIAPEMBANGUNANJEMBER,"KAB. JEMBER - JAWA TIMUR, ID",2183,073058,2,17,1519,3040
Universitas Muhammadiyah Klaten,UMKLA,"KAB. KLATEN - JAWA TENGAH, ID",8244503,061066,10,40,1516,3373
Universitas Widya Kartika,UWIKA,"KOTA SURABAYA - JAWA TIMUR, ID",2047,071017,8,40,1513,6080
STIKes Insan Cendekia Husada Bojonegoro,STIKESICSADABOJONEGORO,"KAB. BOJONEGORO - JAWA TIMUR, ID",2258,073158,3,15,1511,2131
Institut Bisnis dan Keuangan Nitro,IBKNITRO,"KOTA MAKASSAR - SULAWESI SELATAN, ID",2635,092005,7,44,1507,2795
Akademi Kebidanan Mandiri Gresik,-,"KAB. GRESIK - JAWA TIMUR, ID",2314,074092,1,12,1499,1861
Sekolah Tinggi Agama Islam Hubbulwathan Duri,STAIHUBBULWATHANDURI,"KAB. BENGKALIS - RIAU, ID",3979,213454,4,19,1496,3625
Institut Bisnis Dan Informatika Kwik Kian Gie,IBIKKG,"KOTA ADM. JAKARTA UTARA - DKI JAKARTA, ID",1113,032009,8,66,1491,7481
Institut Agama Islam Negeri Syaikh Abdurrahman Siddik Bangka Belitung,IAINSASBABEL,"KAB. BANGKA - KEPULAUAN BANGKA BELITUNG, ID",3545,202043,14,110,1486,2868
Universitas 'Aisyiyah Surakarta,-,"KOTA SURAKARTA - JAWA TENGAH, ID",369,061057,11,70,1481,3672
Sekolah Tinggi Ekonomi Islam SEBI,STEISEBI,"KOTA DEPOK - JAWA BARAT, ID",3980,213456,4,30,1479,2770
Sekolah Tinggi Ilmu Komputer Yos Sudarso,STIKOMYOSSUDARSO,"KAB. BANYUMAS - JAWA TENGAH, ID",175,063073,4,17,1476,2157
Politeknik Banjarnegara,POLIBARA,"KAB. BANJARNEGARA - JAWA TENGAH, ID",331,065021,4,21,1473,3677
Universitas Gunung Rinjani,UGR,"KAB. LOMBOK TIMUR - NUSA TENGGARA BARAT, ID",2378,081015,7,58,1471,2508
STIM Lasharan Jaya Makassar,-,"KOTA MAKASSAR - SULAWESI SELATAN, ID",2676,093114,1,28,1465,2454
Politeknik Kesehatan Kementerian Kesehatan Jakarta I,-,"KOTA ADM. JAKARTA SELATAN - DKI JAKARTA, ID",4419,405008,6,81,1458,3377
Institut Teknologi Pagar Alam,ITPA,"KOTA PAGAR ALAM - SUMATERA SELATAN, ID",941,022011,3,37,1453,2137
INSTITUT KESEHATAN PRIMA NUSANTARA BUKITTINGGI,IKESPNB,"KOTA BUKITTINGGI - SUMATERA BARAT, ID",3020,103121,6,43,1451,4284
STKIP Andi Mattappa,STKIP,"KAB. PANGKAJENE KEPULAUAN - SULAWESI SELATAN, ID",2662,093097,3,22,1444,3006
Akademi Keperawatan Baitul Hikmah,-,"KOTA BANDAR LAMPUNG - LAMPUNG, ID",1006,024099,1,5,1443,7684
Universitas Victory Sorong,UNVIC,"KOTA SORONG - PAPUA BARAT, ID",3459,141007,12,44,1442,2165
Sekolah Tinggi Maritim Yogyakarta,STIMARYO,"KAB. SLEMAN - DAERAH ISTIMEWA YOGYAKARTA, ID",1937,053049,4,27,1441,2551
Institut Teknologi dan Bisnis Semarang,ITBSEMARANG,"KOTA SEMARANG - JAWA TENGAH, ID",8244278,062007,3,30,1437,2595
STMIK Palangka Raya,STMIKPLK,"KOTA PALANGKARAYA - KALIMANTAN TENGAH, ID",3211,113066,3,32,1434,5232
Politeknik Pajajaran Insan Cinta Bangsa Bandung,POLJAN,"KOTA BANDUNG - JAWA BARAT, ID",1838,045002,5,25,1431,2309
STKIP Harapan Bima,STKIPHABI,"KAB. BIMA - NUSA TENGGARA BARAT, ID",2486,083091,6,36,1429,1987
STKIP Muhammadiyah Bogor,-,"KAB. BOGOR - JAWA BARAT, ID",1679,043322,4,31,1428,1764
STIKES Maluku Husada,-,"KAB. SERAM BAGIAN BARAT - MALUKU, ID",3338,123058,6,55,1418,2709
Sekolah Tinggi Ilmu Kesehatan Rajekwesi Bojonegoro,STIKESRAJEKWESIBOJONEGORO,"KAB. BOJONEGORO - JAWA TIMUR, ID",2307,073184,8,26,1418,2500
Universitas Mitra Indonesia,-,"KOTA BANDAR LAMPUNG - LAMPUNG, ID",916,021029,17,106,1417,3811
Sekolah Tinggi Ilmu Ekonomi Syariah Bengkalis,STIESYARIAHBENGKALIS,"KAB. BENGKALIS - RIAU, ID",3971,213446,5,32,1417,3064
Universitas Islam Jakarta,UID,"KOTA ADM. JAKARTA TIMUR - DKI JAKARTA, ID",1054,031003,11,82,1416,3789
Sekolah Tinggi Teologi Kanaan Nusantara Ungaran,STTKN,"KAB. SEMARANG - JAWA TENGAH, ID",354,233141,2,14,1415,1817
Universitas Mandiri,UNIVERSITASMANDIRI,"KAB. SUBANG - JAWA BARAT, ID",8244496,041090,16,56,1412,2889
Sekolah Tinggi Ilmu Ekonomi Adi Unggul Bhirawa,-,"KOTA SURAKARTA - JAWA TENGAH, ID",307,063024,6,67,1400,5532
STMIK Lombok,-,"KAB. LOMBOK TENGAH - NUSA TENGGARA BARAT, ID",2439,083041,2,17,1391,3194
Politeknik Kesejahteraan Sosial Bandung,POLTEKESOSBANDUNG,"KOTA BANDUNG - JAWA BARAT, ID",4477,453001,5,51,1388,2509
Sekolah Tinggi Teknologi Dumai,STTDUMAI,"KOTA DUMAI - KEPULAUAN RIAU, ID",2973,103068,3,31,1382,2462
Lembaga Ilmu Pengetahuan Indonesia,LIPI,"KOTA ADM. JAKARTA PUSAT - DKI JAKARTA, ID",443,LEMLIT-01,0,0,1370,1370
Institut Teknologi Dan Sains Nahdlatul Ulama Pekalongan,ITSNUPEKALONGAN,"KAB. PEKALONGAN - JAWA TENGAH, ID",8444,062004,7,38,1370,2262
Akademi Keuangan Dan Perbankan Padang,-,"KOTA PADANG - SUMATERA BARAT, ID",3043,104004,1,7,1368,2895
Sekolah Tinggi Teknologi Migas,STTMIGASBALIKPAPAN,"KOTA BALIKPAPAN - KALIMANTAN TIMUR, ID",3195,113049,5,50,1368,3304
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Al Maksum,STKIPALMAKSUM,"KAB. LANGKAT - SUMATERA UTARA, ID",8467,013192,5,44,1363,1919
Universitas Panji Sakti Singaraja,-,"KAB. BULELENG - BALI, ID",2370,081008,6,44,1355,3113
Universitas Ubudiyah Indonesia,UUI,"KOTA BANDA ACEH - ACEH, ID",3361,131010,14,38,1355,3403
Sekolah Tinggi Ilmu Komputer PGRI Banyuwangi,-,"KAB. BANYUWANGI - JAWA TIMUR, ID",2192,073072,2,28,1353,1781
Sekolah Tinggi Ilmu Kesehatan RS Husada,-,"KOTA ADM. JAKARTA PUSAT - DKI JAKARTA, ID",1356,034204,0,22,1352,2283
Politeknik Bina Husada Kendari,POLTEKBINHUSKDI,"KOTA KENDARI - SULAWESI TENGGARA, ID",4808,095010,5,31,1347,2201
Sekolah Tinggi Ilmu Kesehatan Cendekia Utama,-,"KAB. KUDUS - JAWA TENGAH, ID",371,063057,5,45,1345,2937
STKIP Setiabudhi,-,"KAB. LEBAK - BANTEN, ID",1593,043223,6,42,1340,2064
Politeknik ATI Makassar,-,"KOTA MAKASSAR - SULAWESI SELATAN, ID",4470,435008,4,73,1339,2573
Akademi Kebidanan Anugerah Bintan,-,"KOTA TANJUNG PINANG - KEPULAUAN RIAU, ID",3108,104119,1,6,1334,1612
Politeknik Pariwisata Bali,POLTEKPARBALI,"KAB. BADUNG - BALI, ID",4401,383001,0,103,1331,2856
Universitas Qomaruddin,UQ,"KAB. GRESIK - JAWA TIMUR, ID",2228,071097,6,44,1328,3376
STKIP Pelita Nusantara Buton,-,"KOTA BAU BAU - SULAWESI TENGGARA, ID",2751,093194,4,8,1319,2204
Universitas Borneo Lestari,-,"UNKNOWN - UNKNOWN, ID",8244578,111031,0,48,1316,2470
Politeknik Kesehatan Kementerian Kesehatan Ternate,POLTEKKESKEMENKESTERNATE,"KOTA TERNATE - MALUKU UTARA, ID",4441,405030,7,82,1316,2136
Sekolah Tinggi Teknologi Cahaya Surya,-,"KOTA KEDIRI - JAWA TIMUR, ID",2198,073081,1,11,1303,2731
Universitas Nasional Karangturi,UNIVERSITASNASIONALKARANGTURISEMARANG,"KOTA SEMARANG - JAWA TENGAH, ID",8427,061046,10,34,1302,2325
Institut Teknologi Sains dan Kesehatan PKU Muhammadiyah Surakarta,ITSPKUMUHAMMADIYAHSURAKARTA,"KOTA SURAKARTA - JAWA TENGAH, ID",211,063089,0,46,1300,3526
Institut Manajemen Wiyata Indonesia,IMWI,"KOTA SUKABUMI - JAWA BARAT, ID",1456,042011,6,34,1298,1723
Sekolah Tinggi Pariwisata AMPTA Yogyakarta,STPAMPTA,"KAB. SLEMAN - DAERAH ISTIMEWA YOGYAKARTA, ID",1905,053020,4,36,1296,4864
Politeknik Kesehatan Kementerian Kesehatan Palangka Raya,POLTEKKESKEMENKESPALANGKARAYA,"KOTA PALANGKARAYA - KALIMANTAN TENGAH, ID",4434,405023,7,83,1296,2571
STIKES Estu Utomo,STIKESESTUUTOMO,"KAB. BOYOLALI - JAWA TENGAH, ID",251,063098,5,25,1290,4051
Universitas Proklamasi  45,UP45,"KAB. SLEMAN - DAERAH ISTIMEWA YOGYAKARTA, ID",1870,051004,0,66,1290,3423
Iisip Yapis Biak,IYB,"KAB. BIAK NUMFOR - P A P U A, ID",3462,142001,8,53,1287,2186
STIKES Maranatha Kupang,STIKESMARANATHA,"KAB. KUPANG - NUSA TENGGARA TIMUR, ID",2466,153017,3,37,1286,1684
STT Bethel Indonesia Jakarta,STTBI,"KOTA ADM. JAKARTA PUSAT - DKI JAKARTA, ID",4068,233003,8,39,1277,2656
Sekolah Tinggi Agama Islam Miftahul Ula,STAIMIFTAHULULANGLAWAKKERTOSONONGANJUK,"KAB. NGANJUK - JAWA TIMUR, ID",3790,213223,4,17,1277,3534
Universitas Widya Dharma Pontianak,UNIVERSITASWIDYADHARMAPONTIANAK,"KOTA PONTIANAK - KALIMANTAN BARAT, ID",8244211,111027,7,65,1276,2434
Sekolah Tinggi Ilmu Kesehatan Banten,-,"KOTA TANGERANG SELATAN - BANTEN, ID",1599,043231,4,25,1275,2265
Sekolah Tinggi Pertanian Kutai Timur,STIPERKUTIM,"KAB. KUTAI TIMUR - KALIMANTAN TIMUR, ID",3192,113046,5,55,1271,3466
Universitas Boyolali,UBY,"KAB. BOYOLALI - JAWA TENGAH, ID",45,061035,9,37,1267,3616
Sekolah Tinggi Ilmu Kesehatan Bethesda Yakkum,STIKESBETHESDAYAKKUM,"KOTA YOGYAKARTA - DAERAH ISTIMEWA YOGYAKARTA, ID",1921,053040,4,36,1265,2223
STAI Ma`had Aly Al-Hikam Malang,STAIMAAL-HIKAM,"KOTA MALANG - JAWA TIMUR, ID",3789,213222,4,30,1264,2058
Sekolah Tinggi Olahraga Dan Kesehatan Bina Guna,STOKBINAGUNA,"KOTA MEDAN - SUMATERA UTARA, ID",625,013024,2,25,1263,1618
Sekolah Tinggi Ekonomi Syariah Manna Wa Salwa Tanah Datar Sumatera Barat,STESMANNAWASALWA,"KAB. TANAH DATAR - SUMATERA BARAT, ID",8321,213585,2,7,1261,1674
Universitas Putra Indonesia Cianjur,UNPICIANJUR,"KAB. CIANJUR - JAWA BARAT, ID",1423,041035,6,36,1261,16936
Sekolah Tinggi Teknologi Nusantara Indonesia,-,"KOTA MAKASSAR - SULAWESI SELATAN, ID",2702,093142,2,10,1259,2016
