Name,Abbrev,Place,Id,Code,Department,Authors,Score 3 Yr,Score Overall
Universitas Muhammadiyah Prof Dr Hamka,UHAMKA,"KOTA ADM. JAKARTA SELATAN - DKI JAKARTA, ID",1083,031039,44,517,85125,142504
Universitas Negeri Gorontalo,UNG,"KOTA GORONTALO - GORONTALO, ID",508,001047,93,825,83486,167000
Universitas Islam Bandung,UNISBA,"KOTA BANDUNG - JAWA BARAT, ID",1392,041002,33,525,82330,156594
Universitas Malikussaleh,UNIMAL,"KAB. ACEH UTARA - ACEH, ID",507,001046,47,587,82289,146837
Universitas Pelita Harapan,UPH,"KAB. TANGERANG - BANTEN, ID",1081,031034,71,549,81691,182722
Universitas Halu Oleo,UHO,"KOTA KENDARI - SULAWESI TENGGARA, ID",392,001029,112,1297,81390,246050
Universitas Trisakti,-,"KOTA ADM. JAKARTA BARAT - DKI JAKARTA, ID",477,031016,47,897,80901,215142
Universitas Negeri Manado,UNIMA,"KAB. MINAHASA - SULAWESI UTARA, ID",498,001035,68,713,78037,144943
Universitas Katolik Indonesia Atma Jaya,UAJ,"KOTA ADM. JAKARTA SELATAN - DKI JAKARTA, ID",409,031007,38,444,76883,181575
Universitas Presiden,-,"KAB. BEKASI - JAWA BARAT, ID",1429,041041,19,165,74886,104095
Universitas Islam Malang,UNISMA,"KOTA MALANG - JAWA TIMUR, ID",2056,071027,36,402,74385,145766
Politeknik Negeri Malang,POLINEMA,"KOTA MALANG - JAWA TIMUR, ID",413,005023,63,580,74221,145755
Politeknik Elektronika Negeri Surabaya,PENS,"KOTA SURABAYA - JAWA TIMUR, ID",426,005018,37,208,74002,156369
Universitas Negeri Medan,UNIMED,"KOTA MEDAN - SUMATERA UTARA, ID",500,001040,84,1008,73973,207935
Universitas Komputer Indonesia,UNIKOM,"KOTA BANDUNG - JAWA BARAT, ID",528,041027,28,241,73866,116148
Universitas Bina Sarana Informatika,-,"KOTA ADM. JAKARTA PUSAT - DKI JAKARTA, ID",1290,031065,46,1120,71521,107095
Universitas Nahdlatul Ulama Surabaya,UNUSA,"KOTA SURABAYA - JAWA TIMUR, ID",2106,071079,20,252,69508,120241
Universitas Bengkulu,UNIB,"KOTA BENGKULU - BENGKULU, ID",402,001030,85,827,66975,182945
Universitas Sultan Ageng Tirtayasa,UNTIRTA,"KOTA SERANG - BANTEN, ID",501,001042,59,706,66828,154234
Politeknik Negeri Jember,POLIJE,"KAB. JEMBER - JAWA TIMUR, ID",447,005019,33,442,63062,115114
UNIVERSITAS MULAWARMAN,UNMUL,"KOTA SAMARINDA - KALIMANTAN TIMUR, ID",411,001015,100,1051,59866,164825
Universitas Muhammadiyah Jakarta,UMJ,"KOTA TANGERANG SELATAN - BANTEN, ID",1059,031011,57,550,58971,111794
Universitas Muhammadiyah Sidoarjo,UMSIDA,"KAB. SIDOARJO - JAWA TIMUR, ID",551,071060,28,240,58250,111908
Universitas Nasional,UNAS,"KOTA ADM. JAKARTA SELATAN - DKI JAKARTA, ID",1061,031012,30,312,55977,116427
Universitas Jambi,UNJA,"KAB. MUARO JAMBI - JAMBI, ID",491,001020,91,1037,55711,136758
Universitas Muhammadiyah Purwokerto,UMP,"KAB. BANYUMAS - JAWA TENGAH, ID",28,061019,49,384,54345,97270
Universitas Ciputra Surabaya,UC,"KOTA SURABAYA - JAWA TIMUR, ID",2098,071071,17,220,53741,98883
Universitas Muslim Indonesia,UMI,"KOTA MAKASSAR - SULAWESI SELATAN, ID",2528,091002,59,711,53298,109587
Universitas Esa Unggul,UEU,"KOTA ADM. JAKARTA BARAT - DKI JAKARTA, ID",1080,031033,34,566,52708,96825
Universitas Trunojoyo Madura,UTM,"KAB. BANGKALAN - JAWA TIMUR, ID",502,001043,36,567,51477,121204
Universitas Nusa Cendana,UNDANA,"KOTA KUPANG - NUSA TENGGARA TIMUR, ID",487,001014,64,787,49975,130195
