Affiliations,Level,Department,Authors,Code ,Score 3 Yr,Score Overall
Universitas Negeri Jakarta,D3,Tata Busana,6,94405,368,486
Universitas Negeri Jakarta,D3,Hubungan Masyarakat,5,70401,341,411
Universitas Negeri Jakarta,D3,Tata Boga,6,94406,307,647
Universitas Negeri Jakarta,S1,Pendidikan Sejarah,11,87201,285,330
Universitas Negeri Jakarta,S1,Pendidikan Bahasa Jerman,12,88207,275,441
Universitas Negeri Jakarta,S1,Pendidikan Bahasa Mandarin,9,88208,266,376
Universitas Negeri Jakarta,S1,Sastra Inggris,12,79202,233,400
Universitas Negeri Jakarta,S2,Manajemen Lingkungan,4,61105,181,286
Universitas Negeri Jakarta,D3,Perjalanan Wisata,7,93406,169,254
Universitas Negeri Jakarta,S2,Pendidikan Khusus,0,86117,0,0
Universitas Negeri Jakarta,S2,Psikologi,0,73101,0,0
Universitas Negeri Jakarta,S2,Pendidikan Masyarakat,0,86105,0,0
Universitas Negeri Jakarta,D4,Akuntansi Sektor Publik,0,62303,0,0
Universitas Negeri Jakarta,D4,Kosmetik dan Perawatan Kecantikan,0,94412,0,0
Universitas Negeri Jakarta,D4,Teknologi Rekayasa Manufaktur,0,36301,0,0
Universitas Negeri Jakarta,D4,Pemasaran Digital,0,61304,0,0
Universitas Negeri Jakarta,D4,Usaha Perjalanan Wisata,0,93310,0,0
Universitas Negeri Jakarta,D4,Desain Mode,0,90331,0,0
Universitas Negeri Jakarta,D4,Teknologi Rekayasa Otomasi,0,20301,0,0
Universitas Negeri Jakarta,D4,Administrasi Perkantoran Digital,0,61305,0,0
Universitas Negeri Jakarta,D4,Teknologi Rekayasa Konstruksi Bangunan Gedung,0,22303,0,0
Universitas Negeri Jakarta,D4,Seni Kuliner dan Pengelolaan Jasa Makanan,0,62305,0,0
Universitas Negeri Jakarta,D4,Manajemen Pelabuhan dan Logistik Maritim,0,92304,0,0
Universitas Bina Nusantara,S2,Teknik Informatika,16,55101,20518,51612
Universitas Bina Nusantara,S1,Teknik Informatika,132,55201,19401,46898
Universitas Bina Nusantara,S1,Sistem Informasi,98,57201,17324,37495
Universitas Bina Nusantara,S2,Manajemen Sistem Informasi,16,57101,14813,27570
Universitas Bina Nusantara,S1,Manajemen,142,61201,14048,28037
Universitas Bina Nusantara,S3,Ilmu Komputer,7,55001,12363,34717
Universitas Bina Nusantara,S3,Ilmu Manajemen,13,61001,10055,19968
Universitas Bina Nusantara,S2,Teknik Industri,7,26101,9230,20765
Universitas Bina Nusantara,S1,Teknik Industri,23,26201,7221,14908
Universitas Bina Nusantara,S1,PJJ Manajemen,16,61207,7178,16730
Universitas Bina Nusantara,S1,Akuntansi,49,62201,6493,10358
Universitas Bina Nusantara,S2,Manajemen,29,61101,4978,11971
Universitas Bina Nusantara,S1,Kewirausahaan (Kampus Kota Malang),11,94202,4529,7353
Universitas Bina Nusantara,S1,Teknologi Pangan,17,41221,4314,12038
Universitas Bina Nusantara,S1,Teknik Informatika (Kampus Kota Semarang),5,55204,3888,10196
Universitas Bina Nusantara,S1,Pendidikan Guru Sekolah Dasar,8,86206,3511,6416
Universitas Bina Nusantara,S1,Sistem Komputer,15,56201,3380,15726
Universitas Bina Nusantara,S1,Arsitektur,16,23201,3201,5646
Universitas Bina Nusantara,S1,Kewirausahaan (Kampus Kota Bandung),19,94206,3071,5315
Universitas Bina Nusantara,S1,Teknik Sipil,16,22201,3019,7969
Universitas Bina Nusantara,S1,Ilmu Komunikasi,47,70201,2943,5556
Universitas Bina Nusantara,S1,PJJ Teknik Informatika,8,55203,2463,3615
Universitas Bina Nusantara,S1,PJJ Sistem Informasi,19,57203,2390,4259
Universitas Bina Nusantara,S1,Psikologi,22,73201,2090,7348
Universitas Bina Nusantara,Pro,Profesi Insinyur,4,23902,2056,5712
Universitas Bina Nusantara,S1,Hubungan Internasional,27,64201,2036,4396
Universitas Bina Nusantara,S1,Teknik Informatika (Kampus Kota Malang),15,55202,1857,2797
Universitas Bina Nusantara,S1,Desain Interior,19,90221,1843,2913
Universitas Bina Nusantara,S2,Ilmu Komunikasi,10,70101,1701,2522
Universitas Bina Nusantara,S1,Teknik Informatika (Kampus Kota Bandung),12,55281,1556,3205
Universitas Bina Nusantara,S2,Akuntansi,6,62101,1505,2802
Universitas Bina Nusantara,S1,Desain Komunikasi Visual,66,90241,1497,3065
Universitas Bina Nusantara,S1,Sistem Informasi (Kampus Kota Semarang),4,57204,1289,2415
Universitas Bina Nusantara,S1,Matematika,9,44201,1272,3593
Universitas Bina Nusantara,S1,Sastra Inggris,21,79202,1222,3057
Universitas Bina Nusantara,S1,Destinasi Pariwisata,9,93202,1141,1757
Universitas Bina Nusantara,S1,Sastra Cina,15,79209,1136,2448
Universitas Bina Nusantara,D4,Perhotelan,17,93302,1050,2132
Universitas Bina Nusantara,S1,Statistika,6,49201,1009,2583
Universitas Bina Nusantara,S1,Ilmu Hukum,14,74201,624,1266
Universitas Bina Nusantara,S1,Sastra Jepang,14,79204,341,847
Universitas Bina Nusantara,S1,Desain Interior (Kampus Kota Malang),7,90223,312,722
Universitas Bina Nusantara,S1,Ilmu Komunikasi (Kampus Kota Malang),5,70202,248,248
Universitas Bina Nusantara,S1,PJJ Teknik Industri,4,26205,173,282
Universitas Bina Nusantara,S1,Desain Komunikasi Visual (Kampus Kota Malang),10,90242,132,182
Universitas Bina Nusantara,S1,Film,7,91261,130,408
Universitas Bina Nusantara,S1,PJJ Akuntansi,7,62203,129,241
Universitas Bina Nusantara,S1,Desain Komunikasi Visual (Kampus Kota Bandung),7,90245,79,99
Universitas Bina Nusantara,S1,Hubungan Masyarakat (Kampus Kota Malang),4,71241,73,131
Universitas Bina Nusantara,S1,Desain Produk,4,90231,5,79
Universitas Bina Nusantara,S1,Desain Interior (Kampus Kota Bandung),7,90222,4,24
Universitas Bina Nusantara,S1,Desain Komunikasi Visual (Kampus Kota Semarang),0,90246,0,0
Universitas Bina Nusantara,S1,Teknik Industri (Kampus Kota Semarang),1,26207,0,0
Universitas Bina Nusantara,S1,Bisnis Digital (Kampus Kota Semarang),0,61213,0,0
Universitas Negeri Yogyakarta,S3,Bimbingan dan Konseling,32,86001,12579,24116
Universitas Negeri Yogyakarta,S3,Pendidikan Ilmu Pengetahuan Alam,5,84001,7980,11443
Universitas Negeri Yogyakarta,D4,Teknik Sipil,5,22305,6764,7257
Universitas Negeri Yogyakarta,S3,Penelitian Dan Evaluasi Pendidikan,13,86020,6653,10550
Universitas Negeri Yogyakarta,S3,Pendidikan Matematika,5,84002,6636,13796
Universitas Negeri Yogyakarta,S2,Pendidikan Teknik Elektro,4,83103,6527,7826
Universitas Negeri Yogyakarta,S2,Pendidikan Fisika,6,84103,6382,10202
Universitas Negeri Yogyakarta,S2,Pendidikan Matematika,13,84102,5980,11746
Universitas Negeri Yogyakarta,S3,Pendidikan Dasar,10,86022,4749,8079
Universitas Negeri Yogyakarta,S3,Pendidikan Teknologi Dan Kejuruan,11,83001,4247,7508
Universitas Negeri Yogyakarta,D4,Mesin Otomotif,7,21304,4153,8507
Universitas Negeri Yogyakarta,S3,Manajemen Pendidikan,12,86004,3387,6487
Universitas Negeri Yogyakarta,S3,Pendidikan Kimia,6,84004,3126,7883
Universitas Negeri Yogyakarta,S3,Ilmu Pendidikan Bahasa,13,88001,2910,5320
Universitas Negeri Yogyakarta,S2,Pendidikan Biologi,9,84105,2898,5517
Universitas Negeri Yogyakarta,S3,Ilmu Keolahragaan,11,89001,2890,4990
Universitas Negeri Yogyakarta,S2,Pendidikan Dasar,18,86122,2543,4712
Universitas Negeri Yogyakarta,S2,Pendidikan Pancasila dan Kewarganegaraan,5,87157,2467,4036
Universitas Negeri Yogyakarta,S2,Penelitian Dan Evaluasi Pendidikan,5,86120,2442,3734
Universitas Negeri Yogyakarta,S2,Pendidikan Teknik Elektronika dan Informatika,7,83102,2412,3980
Universitas Negeri Yogyakarta,S2,Pendidikan Sejarah,5,87101,2379,4121
Universitas Negeri Yogyakarta,D4,Tata Busana,8,94410,2307,3113
Universitas Negeri Yogyakarta,S1,Teknik Elektro,7,20201,2275,4956
Universitas Negeri Yogyakarta,S1,Teknik Manufaktur,6,21208,2235,3509
Universitas Negeri Yogyakarta,S2,Pendidikan Kepelatihan Olahraga,11,85301,2162,3293
Universitas Negeri Yogyakarta,S2,Pendidikan Anak Usia Dini,9,86134,2097,7318
Universitas Negeri Yogyakarta,S2,Pendidikan Sains,5,84101,2046,3391
Universitas Negeri Yogyakarta,S1,Pendidikan Teknik Mekatronika,8,21201,1996,2610
Universitas Negeri Yogyakarta,S1,Pendidikan Teknik Elektro,9,83201,1954,2432
Universitas Negeri Yogyakarta,S2,Pendidikan Bahasa Inggris,10,88103,1920,3043
Universitas Negeri Yogyakarta,S2,Pendidikan Kimia,8,84104,1920,4918
Universitas Negeri Yogyakarta,S2,Linguistik Terapan,6,79102,1879,2704
Universitas Negeri Yogyakarta,S1,Pendidikan Tata Boga,11,83211,1847,2795
Universitas Negeri Yogyakarta,S1,Pendidikan Teknik Mesin,10,83203,1747,2359
Universitas Negeri Yogyakarta,D3,Teknik Mesin,5,21401,1706,1946
Universitas Negeri Yogyakarta,Pro,Profesi Insinyur,6,23902,1659,2476
Universitas Negeri Yogyakarta,S1,Pendidikan Kimia,13,84204,1642,5562
Universitas Negeri Yogyakarta,S2,Pendidikan Geografi,5,87102,1630,2684
Universitas Negeri Yogyakarta,S1,Statistika,7,49201,1561,2757
Universitas Negeri Yogyakarta,S1,Pendidikan Teknik Sipil danPerencanaan,9,83205,1546,2111
Universitas Negeri Yogyakarta,S1,Pendidikan Luar Biasa,12,86202,1542,2229
Universitas Negeri Yogyakarta,S2,Ilmu Keolahragaan,9,89101,1488,2663
Universitas Negeri Yogyakarta,S3,Pendidikan Bahasa Indonesia,5,88002,1458,2805
Universitas Negeri Yogyakarta,S2,Psikologi,5,73101,1451,2358
Universitas Negeri Yogyakarta,S2,Pendidikan Luar Sekolah,4,86105,1435,2313
Universitas Negeri Yogyakarta,S2,Pendidikan Ekonomi,6,87103,1353,2556
Universitas Negeri Yogyakarta,S2,Manajemen Pendidikan,12,86104,1352,2840
Universitas Negeri Yogyakarta,S1,Pendidikan Akuntansi,10,87209,1329,3084
Universitas Negeri Yogyakarta,S1,"Pendidikan Jasmani, Kesehatan Dan Rekreas",20,85201,1325,2864
Universitas Negeri Yogyakarta,S1,Pendidikan Teknik Otomotif,9,83204,1317,1874
Universitas Negeri Yogyakarta,S2,Pendidikan Teknik Mesin,5,83104,1263,2020
Universitas Negeri Yogyakarta,S1,Pendidikan Geografi,10,87202,1258,2179
Universitas Negeri Yogyakarta,S2,Pendidikan Jasmani,7,85101,1245,2291
Universitas Negeri Yogyakarta,S1,Matematika,14,44201,1214,2366
Universitas Negeri Yogyakarta,S1,Pendidikan Bahasa Inggris,26,88203,1199,2119
Universitas Negeri Yogyakarta,S1,Teknik Sipil,6,22201,1169,2231
Universitas Negeri Yogyakarta,S1,Administrasi Publik,12,63201,1157,2345
Universitas Negeri Yogyakarta,S2,Pendidikan Ilmu Pengetahuan Sosial,6,87120,1142,2220
Universitas Negeri Yogyakarta,S1,Biologi,15,46201,1118,3267
Universitas Negeri Yogyakarta,S2,Pendidikan Kesejahteraan Keluarga,5,83106,1097,1780
Universitas Negeri Yogyakarta,S1,Kimia,10,47201,1094,2540
Universitas Negeri Yogyakarta,S1,Pendidikan Kepelatihan Olahraga,13,85202,1087,2090
Universitas Negeri Yogyakarta,D4,Manajemen Pemasaran,9,61304,1086,2042
Universitas Negeri Yogyakarta,D4,Pengobatan Tradisional,5,11306,1064,1731
Universitas Negeri Yogyakarta,S3,Pendidikan Jasmani,5,85001,1036,1528
Universitas Negeri Yogyakarta,S1,Teknologi Informasi,6,59201,1017,2501
Universitas Negeri Yogyakarta,S2,Bimbingan Dan Konseling,8,86101,1013,1377
Universitas Negeri Yogyakarta,S2,Pendidikan Teknologi Dan Kejuruan,4,83101,949,1208
Universitas Negeri Yogyakarta,D3,Mesin Otomotif,5,21403,875,1169
Universitas Negeri Yogyakarta,S1,Fisika,11,45201,859,1675
Universitas Negeri Yogyakarta,D4,Teknik Mesin,6,21302,846,4045
Universitas Negeri Yogyakarta,S1,Pendidikan Teknik Informatika,6,83207,803,2097
Universitas Negeri Yogyakarta,S1,Pendidikan Fisika,9,84203,799,1909
Universitas Negeri Yogyakarta,S2,Pendidikan Bahasa Dan Sastra Indonesia,8,88101,793,2155
Universitas Negeri Yogyakarta,D3,Teknik Elektro,5,20403,784,1429
Universitas Negeri Yogyakarta,D4,Akuntansi,10,62301,773,2330
Universitas Negeri Yogyakarta,S1,Ilmu Komunikasi,11,70201,764,1631
Universitas Negeri Yogyakarta,S2,Pendidikan Luar Biasa,7,86117,754,1798
Universitas Negeri Yogyakarta,S1,Pendidikan Ilmu Pengetahuan Alam,11,84201,707,1299
Universitas Negeri Yogyakarta,S1,Pendidikan Matematika,13,84202,692,1644
Universitas Negeri Yogyakarta,S1,Pendidikan Teknik Elektronika,6,83202,670,1148
Universitas Negeri Yogyakarta,D4,Teknik Elektronika,5,30302,635,1227
Universitas Negeri Yogyakarta,S1,Akuntansi,9,62201,595,1126
Universitas Negeri Yogyakarta,D3,Tata Rias Dan Kecantikan,6,94408,592,820
Universitas Negeri Yogyakarta,D4,Teknik Elektro,5,20307,585,837
Universitas Negeri Yogyakarta,D3,Tata Boga,4,94406,581,883
Universitas Negeri Yogyakarta,S2,Pendidikan Jasmani Sekolah Dasar,5,85102,580,911
Universitas Negeri Yogyakarta,D4,Administrasi Perkantoran,9,63311,571,1090
Universitas Negeri Yogyakarta,D3,Teknik Elektronika,5,20401,563,1095
Universitas Negeri Yogyakarta,S2,Teknologi Pembelajaran,5,86103,557,1161
Universitas Negeri Yogyakarta,S1,Pendidikan Luar Sekolah,10,86205,556,1039
Universitas Negeri Yogyakarta,S1,PGSD Pendidikan Jasmani,15,89202,552,899
Universitas Negeri Yogyakarta,D4,Tata Boga,7,62305,537,963
Universitas Negeri Yogyakarta,S1,Pendidikan Guru Sekolah Dasar,25,86206,531,988
Universitas Negeri Yogyakarta,S1,Pendidikan Bahasa Jawa,11,88202,530,1388
Universitas Negeri Yogyakarta,S1,Pendidikan Biologi,10,84205,467,1166
Universitas Negeri Yogyakarta,S1,Pendidikan Bahasa Dan Sastra Indonesia,11,88201,464,964
Universitas Negeri Yogyakarta,S1,Kebijakan Pendidikan,7,86250,462,576
Universitas Negeri Yogyakarta,S1,Pendidikan Pancasila Dan Kewarganegaraan,16,87205,448,917
Universitas Negeri Yogyakarta,D3,Tata Busana,5,94405,423,535
Universitas Negeri Yogyakarta,D3,Teknik Sipil,8,22401,421,894
Universitas Negeri Yogyakarta,S1,Ilmu Sejarah,10,80201,418,1046
Universitas Negeri Yogyakarta,D4,Pengelolaan Usaha Rekreasi,4,93310,402,826
Universitas Negeri Yogyakarta,S1,Manajemen,14,61201,385,1318
Universitas Negeri Yogyakarta,Pro,Pendidikan Profesi Guru,6,86904,372,667
Universitas Negeri Yogyakarta,S1,Sastra Inggris,11,79202,366,778
Universitas Negeri Yogyakarta,S1,Pendidikan Ekonomi,9,87203,364,1144
Universitas Negeri Yogyakarta,S1,Pendidikan Sejarah,11,87201,360,665
Universitas Negeri Yogyakarta,S1,Pendidikan Seni Musik,13,88209,360,624
Universitas Negeri Yogyakarta,S1,Pendidikan Seni Rupa,12,88210,335,515
Universitas Negeri Yogyakarta,S1,Pendidikan Tata Busana,8,83212,329,499
Universitas Negeri Yogyakarta,S1,Bimbingan Dan Konseling,13,86201,323,545
Universitas Negeri Yogyakarta,S1,Psikologi,11,73201,322,649
Universitas Negeri Yogyakarta,S1,Administrasi Pendidikan,11,86204,302,585
Universitas Negeri Yogyakarta,S1,Pendidikan Bahasa Jerman,9,88207,281,471
Universitas Negeri Yogyakarta,S2,Pendidikan Seni,7,88110,278,721
Universitas Negeri Yogyakarta,D3,Akuntansi,5,62401,274,900
Universitas Negeri Yogyakarta,S1,Pendidikan Sosiologi,9,87204,220,630
Universitas Negeri Yogyakarta,D3,Administrasi Perkantoran,5,63412,216,386
Universitas Negeri Yogyakarta,D4,Promosi Kesehatan,4,13331,199,244
Universitas Negeri Yogyakarta,S1,Teknologi Pendidikan,11,86203,198,633
Universitas Negeri Yogyakarta,S1,Ilmu Keolahragaan,7,89201,196,360
Universitas Negeri Yogyakarta,D4,Tata Rias dan Kecantikan,6,94412,188,303
Universitas Negeri Yogyakarta,S1,Pendidikan Bahasa Perancis,10,88206,184,528
Universitas Negeri Yogyakarta,S1,Pendidikan Administrasi Perkantoran,6,87210,182,302
Universitas Negeri Yogyakarta,S1,Pendidikan Ilmu Pengetahuan Sosial,8,87220,163,263
Universitas Negeri Yogyakarta,S1,Sastra Indonesia,8,79201,154,449
Universitas Negeri Yogyakarta,S2,Pendidikan Bahasa Jawa,6,88102,133,673
Universitas Negeri Yogyakarta,S1,Pendidikan Guru Pendidikan Anak Usia Dini,8,86207,95,435
Universitas Negeri Yogyakarta,S1,Pendidikan Kriya,8,88211,90,225
Universitas Negeri Yogyakarta,S1,Pendidikan Seni Tari,13,88212,83,703
Universitas Negeri Yogyakarta,D3,Manajemen Pemasaran,4,61404,54,154
Universitas Negeri Yogyakarta,S3,Pendidikan Kepelatihan Olahraga,0,85000,0,0
Universitas Negeri Yogyakarta,S1,Manajemen Pendidikan,0,86231,0,0
Universitas Negeri Yogyakarta,S1,Teknik Industri,0,26201,0,0
Universitas Negeri Semarang,S1,Kesehatan Masyarakat,20,13201,15527,107744
Universitas Negeri Semarang,S2,Pendidikan Fisika,5,84103,9090,20150
Universitas Negeri Semarang,S1,Biologi,17,46201,7602,16741
Universitas Negeri Semarang,S1,Teknik Kimia,18,24201,7259,16785
Universitas Negeri Semarang,S1,Fisika,14,45201,6630,16382
Universitas Negeri Semarang,S1,Akuntansi,22,62201,6494,11584
Universitas Negeri Semarang,S1,Pendidikan Fisika,17,84203,6314,14181
Universitas Negeri Semarang,S1,Ilmu Hukum,36,74201,6173,8892
Universitas Negeri Semarang,S3,Pendidikan Ilmu Pengetahuan Alam,7,84001,6127,13456
Universitas Negeri Semarang,S1,Pendidikan Matematika,16,84202,5946,9981
Universitas Negeri Semarang,S3,Pendidikan Matematika,6,84002,5617,10341
Universitas Negeri Semarang,S1,Kimia,13,47201,5066,14511
Universitas Negeri Semarang,S1,Pendidikan Ekonomi,38,87203,5009,9851
Universitas Negeri Semarang,S1,Pendidikan Ipa,12,84201,4998,12151
Universitas Negeri Semarang,S3,Manajemen Kependidikan,14,86004,4986,11116
Universitas Negeri Semarang,S1,Pendidikan Biologi,17,84205,4684,9577
Universitas Negeri Semarang,S1,Ilmu Lingkungan,8,25201,4584,8651
Universitas Negeri Semarang,S1,Teknik Informatika,9,55201,3872,8159
Universitas Negeri Semarang,S2,Pendidikan Bahasa Inggris,7,88103,3812,6987
Universitas Negeri Semarang,S1,Ekonomi Pembangunan,17,60201,3681,7333
Universitas Negeri Semarang,S3,Ilmu Pendidikan Bahasa,5,88001,3648,6623
Universitas Negeri Semarang,S2,Pendidikan Ilmu Pengetahuan Alam,6,84101,3610,10151
Universitas Negeri Semarang,S2,Pendidikan Matematika,5,84102,3585,6258
Universitas Negeri Semarang,S2,Pendidikan Kimia,5,84104,3552,7315
Universitas Negeri Semarang,S1,Matematika,8,44201,3361,6148
Universitas Negeri Semarang,S1,Manajemen,23,61201,3129,5922
Universitas Negeri Semarang,S2,"Pendidikan Seni Drama, Tari Dan Musik",6,88109,3088,5387
Universitas Negeri Semarang,S1,Pendidikan Pancasila Dan Kewarganegaraan,14,87205,3049,6923
Universitas Negeri Semarang,S2,Penelitian Dan Evaluasi Pendidikan,5,86120,2944,6107
Universitas Negeri Semarang,S2,Ilmu Ekonomi,5,60102,2792,5661
Universitas Negeri Semarang,S3,Pendidikan Ilmu Pengetahuan Sosial,5,87001,2463,5385
Universitas Negeri Semarang,S2,Pendidikan Geografi,4,87102,2425,4304
Universitas Negeri Semarang,S1,Teknik Mesin,10,21201,2391,5340
Universitas Negeri Semarang,D3,Statistika Terapan dan Komputasi,6,49401,2272,4909
Universitas Negeri Semarang,S1,Teknik Elektro,13,20201,2267,6827
Universitas Negeri Semarang,S1,"Pendidikan Seni Drama, Tari Dan Musik",27,88209,2236,3475
Universitas Negeri Semarang,S2,Kesehatan Masyarakat,7,13101,2205,4397
Universitas Negeri Semarang,S2,Pendidikan Ekonomi,5,87103,2199,4535
Universitas Negeri Semarang,S1,Pendidikan Kimia,7,84204,2145,4907
Universitas Negeri Semarang,S1,Pendidikan Tata Busana,7,83212,2034,5391
Universitas Negeri Semarang,S2,Pendidikan Kejuruan,5,83101,1840,5955
Universitas Negeri Semarang,S1,Pendidikan Bahasa Inggris,15,88203,1824,3472
Universitas Negeri Semarang,S1,Farmasi,6,48201,1785,3062
Universitas Negeri Semarang,S2,Administrasi Pendidikan,5,86104,1772,3316
Universitas Negeri Semarang,S2,Pendidikan Anak Usia Dini,5,86107,1752,2602
Universitas Negeri Semarang,S2,Pendidikan Olahraga,6,85101,1634,2589
Universitas Negeri Semarang,S1,Gizi,6,13211,1612,3546
Universitas Negeri Semarang,S1,Teknologi Pendidikan,13,86203,1605,2778
Universitas Negeri Semarang,S3,Pendidikan Bimbingan dan Konseling,4,86001,1597,2830
Universitas Negeri Semarang,S1,Pendidikan Geografi,8,87202,1561,2092
Universitas Negeri Semarang,S1,Pendidikan Ilmu Pengetahuan Sosial,10,84207,1469,2032
Universitas Negeri Semarang,S3,Pendidikan Olahraga,6,85001,1387,2710
Universitas Negeri Semarang,S2,Pendidikan Dasar,5,86122,1372,1893
Universitas Negeri Semarang,S1,Teknik Sipil,11,22201,1357,3046
Universitas Negeri Semarang,S3,Pendidikan Seni,6,88009,1356,2544
Universitas Negeri Semarang,S1,Ilmu Keolahragaan,15,89201,1336,2425
Universitas Negeri Semarang,S1,Geografi,5,51201,1333,2154
Universitas Negeri Semarang,S1,"Pendidikan Jasmani, Kesehatan & Rekreasi",23,85201,1248,2148
Universitas Negeri Semarang,S1,Pendidikan Teknik Mesin,10,83203,1242,2415
Universitas Negeri Semarang,S1,Pendidikan Teknik Otomotif,10,83204,1182,2899
Universitas Negeri Semarang,S1,"Pendidikan Bahasa, Sastra Ind Dan Daerah",18,88201,1179,1787
Universitas Negeri Semarang,S2,Bimbingan Konseling,5,86101,1176,2041
Universitas Negeri Semarang,S1,Teknik Arsitektur,13,23201,1162,2595
Universitas Negeri Semarang,S2,Pendidikan Bahasa Indonesia,5,88111,1097,2781
Universitas Negeri Semarang,S1,Pendidikan Teknik Elektro,13,83201,1048,3010
Universitas Negeri Semarang,S1,Pendidikan Luar Sekolah,8,86205,1010,1540
Universitas Negeri Semarang,S1,Pendidikan Guru Sekolah Dasar,50,86206,994,1652
Universitas Negeri Semarang,S1,Pendidikan Tata Boga,8,83211,976,2193
Universitas Negeri Semarang,S2,Pendidikan Luar Sekolah,5,86105,956,1681
Universitas Negeri Semarang,S1,Pendidikan Kepelatihan Olahraga,20,85202,942,1232
Universitas Negeri Semarang,S2,Ilmu Hukum,8,74101,933,1794
Universitas Negeri Semarang,S1,Pendidikan Teknik Bangunan,9,83205,791,1399
Universitas Negeri Semarang,S1,Sistem Informasi,4,57201,743,890
Universitas Negeri Semarang,S1,Pendidikan Bahasa Jepang,11,88205,700,1400
Universitas Negeri Semarang,S1,Seni Rupa Murni,4,90201,680,1162
Universitas Negeri Semarang,S2,Pendidikan Ilmu Pengetahuan Sosial,6,87120,673,910
Universitas Negeri Semarang,S1,Pendidikan Kesejahteraan Keluarga,12,83206,647,1307
Universitas Negeri Semarang,S1,Pendidikan Sejarah,9,87201,641,1127
Universitas Negeri Semarang,S1,Sastra Jawa,8,79211,633,1211
Universitas Negeri Semarang,S1,Pendidikan Sosiologi Dan Antropologi,19,87204,580,1463
Universitas Negeri Semarang,S1,Psikologi,21,73201,532,657
Universitas Negeri Semarang,S1,Pendidikan Teknik Informatika & Komputer,9,83207,504,1375
Universitas Negeri Semarang,S1,Pendidikan Bahasa Arab,10,88204,491,826
Universitas Negeri Semarang,D3,Desain Komunikasi Visual,4,90441,464,709
Universitas Negeri Semarang,S1,Pendidikan Tata Kecantikan,6,83213,461,1385
Universitas Negeri Semarang,S1,Sastra Indonesia,7,79201,405,888
Universitas Negeri Semarang,S1,Ilmu Politik,8,67201,402,976
Universitas Negeri Semarang,S1,Pendidikan Guru Pendidikan Anak Usia Dini,11,86207,395,505
Universitas Negeri Semarang,Pro,Pendidikan Profesi Guru,4,86904,379,746
Universitas Negeri Semarang,S2,Pengembangan Kurikulum,3,86121,352,352
Universitas Negeri Semarang,S1,Bimbingan dan Konseling,9,86201,271,498
Universitas Negeri Semarang,S1,Pendidikan Jasmani Sekolah Dasar,6,89202,228,328
Universitas Negeri Semarang,S1,Pendidikan Bahasa Mandarin,6,88208,220,540
Universitas Negeri Semarang,S1,Sastra Perancis,8,79205,219,519
Universitas Negeri Semarang,Pro,Pendidikan Profesi Konselor,4,86901,216,848
Universitas Negeri Semarang,S1,Pendidikan Seni Rupa,5,88210,190,230
Universitas Negeri Semarang,S1,Pendidikan Bahasa Perancis,8,88206,189,259
Universitas Negeri Semarang,S1,Pendidikan Bahasa dan Sastra Jawa,12,88202,134,214
Universitas Negeri Semarang,S1,Sastra Inggris,12,79202,123,143
Universitas Negeri Semarang,S1,Ilmu Sejarah,7,80201,13,13
Universitas Negeri Semarang,S3,Kesehatan Masyarakat,0,13002,0,0
Universitas Negeri Semarang,S1,Teknik Komputer,0,56202,0,0
Universitas Negeri Semarang,S1,PJJ Pendidikan Guru Sekolah Dasar,0,86209,0,0
Universitas Sriwijaya,S1,Sistem Komputer,15,56201,11151,21905
Universitas Sriwijaya,S1,Pendidikan Dokter,58,11201,9222,15133
Universitas Sriwijaya,S3,Ilmu Matematika Dan Ilmu Pengetahuan Alam,6,44001,8184,20957
Universitas Sriwijaya,S3,Pendidikan Matematika,5,84002,7424,16417
Universitas Sriwijaya,S2,Kimia,6,47102,5563,12606
Universitas Sriwijaya,S1,Teknik Elektro,33,20201,5533,10663
Universitas Sriwijaya,S1,Kimia,16,47201,5307,13536
Universitas Sriwijaya,S1,Teknik Mesin,28,21201,5077,12542
Universitas Sriwijaya,S1,Farmasi,20,48201,5056,9252
Universitas Sriwijaya,S2,Ilmu Kesehatan Masyarakat,6,13101,4966,8405
Universitas Sriwijaya,S1,Proteksi Tanaman,10,54295,4372,9513
Universitas Sriwijaya,S1,Ilmu Kelautan,17,54241,4319,8202
Universitas Sriwijaya,S1,Teknik Sipil,41,22201,4010,8408
Universitas Sriwijaya,S2,Biologi,6,46101,3913,9351
Universitas Sriwijaya,S1,Teknik Informatika,16,55201,3847,6750
Universitas Sriwijaya,S3,Ilmu Teknik,5,21001,3827,7423
Universitas Sriwijaya,S2,Pendidikan Matematika,5,84102,3630,8524
Universitas Sriwijaya,S2,Teknik Mesin,7,21101,3604,9008
Universitas Sriwijaya,S3,Ilmu Pertanian,6,54001,3523,7854
Universitas Sriwijaya,S1,Pendidikan Matematika,10,84202,3447,4656
Universitas Sriwijaya,S1,Teknik Kimia,24,24201,3348,8079
Universitas Sriwijaya,S2,Ilmu Tanaman,5,54104,3288,5696
Universitas Sriwijaya,S1,Matematika,21,44201,3190,7821
Universitas Sriwijaya,S1,Fisika,21,45201,2965,5957
Universitas Sriwijaya,S1,Sistem Informasi,17,57201,2774,4755
Universitas Sriwijaya,S1,Teknologi Hasil Perikanan,14,54244,2760,7366
Universitas Sriwijaya,S3,Sains Biomedis,6,11006,2536,8200
Universitas Sriwijaya,S2,Ilmu Komputer,5,55101,2502,3745
Universitas Sriwijaya,S1,Agroekoteknologi,11,54211,2416,5907
